Overall Qual,Gr Liv Area,Garage Cars,Total Bsmt SF,Year Built,Full Bath,Year Remod/Add,Fireplaces,Neighborhood,SalePrice
6,1656,2.0,1080.0,1960,1,1960,2,NAmes,215000
5,896,1.0,882.0,1961,1,1961,0,NAmes,105000
6,1329,1.0,1329.0,1958,1,1958,0,NAmes,172000
7,2110,2.0,2110.0,1968,2,1968,2,NAmes,244000
5,1629,2.0,928.0,1997,2,1998,1,Gilbert,189900
6,1604,2.0,926.0,1998,2,1998,1,Gilbert,195500
8,1338,2.0,1338.0,2001,2,2001,0,StoneBr,213500
8,1280,2.0,1280.0,1992,2,1992,0,StoneBr,191500
8,1616,2.0,1595.0,1995,2,1996,1,StoneBr,236500
7,1804,2.0,994.0,1999,2,1999,1,Gilbert,189000
6,1655,2.0,763.0,1993,2,1994,1,Gilbert,175900
6,1187,2.0,1168.0,1992,2,2007,0,Gilbert,185000
6,1465,2.0,789.0,1998,2,1998,1,Gilbert,180400
7,1341,2.0,1300.0,1990,1,1990,1,Gilbert,171500
8,1502,2.0,1488.0,1985,1,1985,0,StoneBr,212000
8,3279,3.0,1650.0,2003,3,2003,1,StoneBr,538000
8,1752,2.0,559.0,1988,2,2005,0,Gilbert,164000
9,1856,3.0,1856.0,2010,1,2010,1,StoneBr,394432
4,864,2.0,864.0,1951,1,1951,0,Gilbert,141000
6,2073,2.0,1542.0,1978,2,1988,2,NWAmes,210000
6,1844,2.0,1844.0,1977,2,1977,1,NWAmes,190000
7,1173,2.0,1053.0,1974,2,1974,2,NWAmes,170000
7,1674,2.0,814.0,2000,2,2000,0,Somerst,216000
6,1004,2.0,1004.0,1970,1,1970,1,NAmes,149000
5,1078,2.0,1078.0,1971,1,2008,1,NAmes,149900
5,1056,1.0,1056.0,1968,1,1968,1,NAmes,142000
4,882,2.0,882.0,1970,1,1970,0,NAmes,126000
4,864,0.0,864.0,1971,1,1971,1,NAmes,115000
7,1337,2.0,1405.0,1999,2,1999,1,NAmes,184000
6,987,1.0,483.0,1971,1,1971,0,BrDale,96000
5,1092,1.0,525.0,1971,1,1971,0,BrDale,105500
6,1092,1.0,525.0,1971,1,1971,0,BrDale,88000
6,1069,2.0,1069.0,1977,2,1977,1,NPkVill,127500
6,1456,2.0,855.0,1975,2,1975,1,NPkVill,149900
7,836,1.0,836.0,1975,1,1975,0,NPkVill,120000
6,1456,2.0,855.0,1978,2,1978,1,NPkVill,146000
9,2334,3.0,1590.0,2009,2,2010,1,NridgHt,376162
8,1704,3.0,1704.0,2007,2,2008,1,NridgHt,306000
9,1940,3.0,1930.0,2009,2,2010,1,NridgHt,395192
8,1544,3.0,1544.0,2009,2,2010,0,NridgHt,290941
7,1541,2.0,1541.0,2005,2,2005,1,NridgHt,220000
9,1698,3.0,1698.0,2005,2,2005,1,NridgHt,275000
8,1822,3.0,1822.0,2005,2,2006,1,NridgHt,259000
7,1535,2.0,1517.0,2004,2,2004,0,NridgHt,214000
9,2364,3.0,2330.0,2009,2,2010,2,NridgHt,611657
7,1358,2.0,1358.0,2009,2,2010,1,NridgHt,224000
9,2696,3.0,2846.0,2003,2,2004,2,NridgHt,500000
8,2250,3.0,1671.0,2002,2,2002,1,NridgHt,320000
9,1752,2.0,1752.0,2005,2,2005,1,NridgHt,319900
8,1370,2.0,1370.0,2006,2,2006,1,NridgHt,205000
7,1626,2.0,764.0,2003,2,2003,0,NridgHt,175500
6,1324,2.0,1324.0,2005,2,2005,0,Gilbert,199500
7,1145,2.0,1145.0,2006,2,2006,0,Blmngtn,160000
8,1269,2.0,1256.0,2004,2,2005,1,Blmngtn,192000
7,1374,2.0,384.0,2004,2,2004,1,Gilbert,184500
6,1960,2.0,860.0,2002,2,2002,2,Gilbert,216500
7,1733,2.0,847.0,2004,2,2004,1,Gilbert,185088
7,1430,2.0,384.0,2000,2,2000,1,Gilbert,180000
7,2035,2.0,884.0,2001,2,2001,1,Gilbert,222500
9,2599,3.0,1393.0,1999,2,1999,1,NoRidge,333168
8,2475,3.0,1629.0,1998,2,1998,1,NoRidge,355000
7,1720,2.0,1720.0,1996,2,1996,1,NoRidge,260400
8,2622,2.0,1463.0,1994,2,1995,2,NoRidge,325000
8,2270,3.0,1152.0,1999,2,2007,1,NoRidge,290000
7,1839,2.0,1195.0,1998,2,1998,0,NoRidge,221000
8,3238,3.0,2033.0,1995,2,1996,1,NoRidge,410000
8,1595,3.0,1595.0,2005,2,2006,1,Somerst,221500
7,1218,2.0,1218.0,2009,2,2010,0,Somerst,204500
